sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
367,141472,352.02,0.00,0.00,0.00,352.66,0
368,141795,352.02,0.00,0.00,0.00,352.45,0
369,142118,352.02,0.00,0.00,0.00,352.23,0
370,142441,352.02,0.00,0.00,0.00,352.02,0
371,142764,352.02,0.00,0.00,0.00,352.02,0
372,143087,352.02,0.00,0.00,0.00,352.02,0
373,143410,352.02,0.00,0.00,0.00,352.02,0
374,143733,350.97,-1.05,1.05,-3.24,351.81,0
375,144057,350.97,0.00,0.00,0.00,351.60,0
376,144380,350.97,0.00,0.00,0.00,351.39,0
377,144703,350.97,0.00,0.00,0.00,351.18,0
378,145026,350.97,0.00,0.00,0.00,350.97,0
379,145349,350.97,0.00,0.00,0.00,350.97,0
380,145672,350.97,0.00,0.00,0.00,350.97,0
381,145995,350.97,0.00,0.00,0.00,350.97,0
382,146318,350.97,0.00,0.00,0.00,350.97,0
383,146641,350.97,0.00,0.00,0.00,350.97,0
384,146964,350.97,0.00,0.00,0.00,350.97,0
385,147287,350.97,0.00,0.00,0.00,350.97,0
386,147610,350.97,0.00,0.00,0.00,350.97,0
387,147933,350.97,0.00,0.00,0.00,350.97,0
388,148256,350.97,0.00,0.00,0.00,350.97,0
389,148579,350.97,0.00,0.00,0.00,350.97,0
390,148902,350.97,0.00,0.00,0.00,350.97,0
391,149225,350.97,0.00,0.00,0.00,350.97,0
392,149548,350.97,0.00,0.00,0.00,350.97,0
393,149871,350.97,0.00,0.00,0.00,350.97,0
394,150194,350.97,0.00,0.00,0.00,350.97,0
395,150517,350.97,0.00,0.00,0.00,350.97,0
396,150840,350.97,0.00,0.00,0.00,350.97,0
397,151163,350.97,0.00,0.00,0.00,350.97,0
398,151486,350.97,0.00,0.00,0.00,350.97,0
399,151809,350.97,0.00,0.00,0.00,350.97,0
400,152132,350.97,0.00,0.00,0.00,350.97,0
401,152455,350.97,0.00,0.00,0.00,350.97,0
402,152778,350.97,0.00,0.00,0.00,350.97,0
403,153101,350.97,0.00,0.00,0.00,350.97,0
404,153424,350.03,-0.94,0.94,-2.92,350.79,0
405,153748,350.03,0.00,0.00,0.00,350.60,0
406,154071,341.89,-8.15,8.15,-25.22,348.78,0
407,154394,332.85,-9.04,9.04,-27.98,345.15,0
408,154717,322.81,-10.03,10.03,-31.06,339.52,0
409,155039,313.72,-9.09,9.09,-28.23,332.26,0
410,155360,303.59,-10.14,10.14,-31.58,322.97,0
411,155681,293.57,-10.02,10.02,-31.20,313.31,0
412,156001,285.43,-8.15,8.15,-25.46,303.83,0
413,156321,276.36,-9.07,9.07,-28.35,294.53,0
414,156640,266.24,-10.12,10.12,-31.72,285.04,0
415,156959,257.15,-9.09,9.09,-28.49,275.75,0
416,157277,252.19,-4.96,4.96,-15.59,267.47,0
417,157595,251.14,-1.05,1.05,-3.29,260.61,0
418,157913,251.14,0.00,0.00,0.00,255.57,0
419,158231,242.07,-9.07,9.07,-28.53,250.74,0
420,158548,232.98,-9.09,9.09,-28.67,245.91,0
421,158865,223.91,-9.07,9.07,-28.62,240.25,0
422,159181,214.84,-9.07,9.07,-28.71,232.99,0
423,159497,204.70,-10.14,10.14,-32.07,223.70,0
424,159812,201.75,-2.95,2.95,-9.36,215.64,0
425,160127,201.75,0.00,0.00,0.00,209.39,0
426,160442,201.75,0.00,0.00,0.00,204.96,0
427,160757,201.75,0.00,0.00,0.00,202.34,0
428,161072,201.75,0.00,0.00,0.00,201.75,0
429,161387,201.75,0.00,0.00,0.00,201.75,0
430,161702,201.75,0.00,0.00,0.00,201.75,0
431,162017,201.75,0.00,0.00,0.00,201.75,0
432,162332,201.75,0.00,0.00,0.00,201.75,0
433,162647,200.69,-1.06,1.06,-3.38,201.54,0
434,162962,200.69,0.00,0.00,0.00,201.33,0
435,163277,200.69,0.00,0.00,0.00,201.11,0
436,163592,200.69,0.00,0.00,0.00,200.90,0
437,163907,200.69,0.00,0.00,0.00,200.69,0
438,164222,200.69,0.00,0.00,0.00,200.69,0
439,164537,200.69,0.00,0.00,0.00,200.69,0
440,164852,200.69,0.00,0.00,0.00,200.69,0
441,165167,200.69,0.00,0.00,0.00,200.69,0
442,165482,200.69,0.00,0.00,0.00,200.69,0
443,165797,200.69,0.00,0.00,0.00,200.69,0
444,166112,200.69,0.00,0.00,0.00,200.69,0
445,166427,199.75,-0.94,0.94,-2.99,200.50,0
446,166742,199.75,0.00,0.00,0.00,200.31,0
447,167057,199.75,0.00,0.00,0.00,200.12,0
448,167372,199.75,0.00,0.00,0.00,199.93,0
449,167687,199.75,0.00,0.00,0.00,199.75,0
450,168002,199.75,0.00,0.00,0.00,199.75,0
451,168317,199.75,0.00,0.00,0.00,199.75,0
452,168632,199.75,0.00,0.00,0.00,199.75,0
453,168947,199.75,0.00,0.00,0.00,199.75,0
454,169262,200.69,0.94,0.94,2.99,199.93,0
455,169577,200.69,0.00,0.00,0.00,200.12,0
456,169892,200.69,0.00,0.00,0.00,200.31,0
457,170207,201.75,1.06,1.06,3.38,200.71,0
458,170522,202.70,0.94,0.94,2.99,201.30,0
459,170837,203.76,1.06,1.06,3.38,201.92,0
460,171152,205.77,2.01,2.01,6.37,202.93,0
461,171467,205.77,0.00,0.00,0.00,203.95,0
462,171782,207.77,2.01,2.01,6.37,205.15,0
463,172097,208.84,1.06,1.06,3.38,206.38,0
464,172412,210.84,2.01,2.01,6.37,207.80,0
465,172727,211.79,0.94,0.94,2.99,209.00,0
466,173042,211.79,0.00,0.00,0.00,210.20,0
467,173357,211.79,0.00,0.00,0.00,211.01,0
468,173672,211.79,0.00,0.00,0.00,211.60,0
469,173987,211.79,0.00,0.00,0.00,211.79,0
470,174302,211.79,0.00,0.00,0.00,211.79,0
471,174617,212.83,1.05,1.05,3.32,211.99,0
472,174932,212.83,0.00,0.00,0.00,212.20,0
473,175247,212.83,0.00,0.00,0.00,212.41,0
474,175562,212.83,0.00,0.00,0.00,212.62,0
475,175877,214.84,2.01,2.01,6.37,213.23,0
476,176192,215.78,0.94,0.94,2.99,213.82,0
477,176508,215.78,0.00,0.00,0.00,214.41,0
478,176823,216.84,1.06,1.06,3.38,215.22,0
479,177139,216.84,0.00,0.00,0.00,216.02,0
480,177455,216.84,0.00,0.00,0.00,216.42,0
481,177771,216.84,0.00,0.00,0.00,216.63,0
482,178087,216.84,0.00,0.00,0.00,216.84,0
483,178403,216.84,0.00,0.00,0.00,216.84,0
484,178719,216.84,0.00,0.00,0.00,216.84,0
485,179035,218.85,2.01,2.01,6.35,217.25,0
486,179351,218.85,0.00,0.00,0.00,217.65,0
487,179667,218.85,0.00,0.00,0.00,218.05,0
488,179983,218.85,0.00,0.00,0.00,218.45,0
489,180299,218.85,0.00,0.00,0.00,218.85,0
490,180615,218.85,0.00,0.00,0.00,218.85,0
491,180931,218.85,0.00,0.00,0.00,218.85,0
492,181247,219.91,1.06,1.06,3.36,219.06,0
493,181563,219.91,0.00,0.00,0.00,219.28,0
494,181879,219.91,0.00,0.00,0.00,219.49,0
495,182195,219.91,0.00,0.00,0.00,219.70,0
496,182511,219.91,0.00,0.00,0.00,219.91,0
497,182827,219.91,0.00,0.00,0.00,219.91,0
498,183143,219.91,0.00,0.00,0.00,219.91,0
499,183459,219.91,0.00,0.00,0.00,219.91,0
500,183775,219.91,0.00,0.00,0.00,219.91,0
501,184091,219.91,0.00,0.00,0.00,219.91,0
