sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1675.0,547221.0,32.26,0.0,0.0,0.0,31.83,1
207.0,89628.0,380.22,0.0,0.0,0.0,380.43,0
2660.0,851057.0,154.26,0.94,0.94,3.02,152.68,0
2900.0,926205.0,124.1,-0.94,0.94,-3.04,125.68,0
915.0,313670.0,103.91,0.0,0.0,0.0,104.5,0
256.0,105535.0,362.07,-1.06,1.06,-3.28,363.91,0
2819.0,900948.0,176.54,-0.94,0.94,-3.01,177.72,0
1676.0,547526.0,32.26,0.0,0.0,0.0,32.05,1
1984.0,641313.0,36.27,0.0,0.0,0.0,36.27,1
1741.0,567351.0,27.18,0.0,0.0,0.0,27.82,1
865.0,298202.0,109.93,0.0,0.0,0.0,115.98,0
2441.0,782942.0,171.47,-0.94,0.94,-3.01,172.86,0
1759.0,572824.0,26.14,0.0,0.0,0.0,26.56,1
233.0,98078.0,372.21,0.0,0.0,0.0,373.42,0
1896.0,614475.0,27.18,0.0,0.0,0.0,26.76,1
466.0,173042.0,211.79,0.0,0.0,0.0,210.2,0
427.0,160757.0,201.75,0.0,0.0,0.0,202.34,0
1898.0,615083.0,28.25,1.06,1.06,3.5,27.4,1
1781.0,579513.0,24.13,-1.06,1.06,-3.5,25.36,1
2602.0,833034.0,112.98,0.0,0.0,0.0,113.78,0
1706.0,556676.0,33.2,0.0,0.0,0.0,33.63,1
3262.0,1038718.0,157.33,0.0,0.0,0.0,158.35,0
1680.0,548746.0,33.2,0.0,0.0,0.0,32.83,1
2876.0,918746.0,139.16,0.0,0.0,0.0,139.98,0
1691.0,552101.0,36.27,0.0,0.0,0.0,35.71,1
1666.0,544476.0,29.19,0.94,0.94,3.09,28.43,1
2419.0,776042.0,191.62,-1.06,1.06,-3.39,193.46,0
2829.0,904078.0,170.4,-1.06,1.06,-3.4,171.63,0
1716.0,559726.0,29.19,0.0,0.0,0.0,29.61,1
1614.0,528616.0,28.25,0.0,0.0,0.0,28.25,1
954.0,325721.0,109.93,0.0,0.0,0.0,108.92,0
2177.0,701193.0,38.26,-4.01,4.01,-13.11,53.61,1
1782.0,579818.0,24.13,0.0,0.0,0.0,24.96,1
473.0,175247.0,212.83,0.0,0.0,0.0,212.41,0
3205.0,1020850.0,199.75,0.0,0.0,0.0,200.93,0
2833.0,905330.0,168.4,0.0,0.0,0.0,169.41,0
918.0,314597.0,102.85,0.0,0.0,0.0,103.27,0
1523.0,500754.0,64.55,0.0,0.0,0.0,64.55,0
2674.0,855426.0,165.46,1.06,1.06,3.4,163.79,0
2851.0,910955.0,155.33,-0.94,0.94,-3.02,156.72,0
613.0,219285.0,191.62,1.05,1.05,3.33,190.0,0
1513.0,497684.0,65.5,0.0,0.0,0.0,66.13,0
1674.0,546916.0,32.26,0.0,0.0,0.0,31.62,1
2850.0,910643.0,156.27,0.0,0.0,0.0,157.33,0
1760.0,573128.0,26.14,0.0,0.0,0.0,26.35,1
1612.0,528006.0,28.25,0.0,0.0,0.0,30.65,1
552.0,200136.0,189.63,-0.94,0.94,-3.0,192.64,0
2856.0,912515.0,153.32,0.0,0.0,0.0,153.7,0
1889.0,612346.0,25.19,1.06,1.06,3.5,24.34,1
2656.0,849809.0,151.31,0.0,0.0,0.0,150.49,0
1700.0,554846.0,35.33,-0.94,0.94,-3.09,36.08,1
913.0,313052.0,103.91,-0.94,0.94,-3.05,105.3,0
2263.0,727487.0,191.62,0.0,0.0,0.0,187.99,0
1688.0,551186.0,35.33,0.0,0.0,0.0,34.9,1
2713.0,867637.0,183.61,0.0,0.0,0.0,182.76,0
1965.0,635518.0,35.33,0.0,0.0,0.0,34.9,1
3232.0,1029333.0,179.49,-1.06,1.06,-3.39,181.54,0
917.0,314288.0,102.85,0.0,0.0,0.0,103.49,0
2596.0,831174.0,115.01,-0.94,0.94,-3.04,115.98,0
2877.0,919057.0,138.21,-0.94,0.94,-3.03,139.39,0
331.0,129835.0,354.04,0.0,0.0,0.0,354.23,0
2070.0,668031.0,42.27,0.0,0.0,0.0,58.66,0
1241.0,414436.0,55.48,-0.94,0.94,-3.08,56.66,0
600.0,215203.0,186.56,-1.06,1.06,-3.39,187.79,0
1001.0,340274.0,119.96,0.0,0.0,0.0,119.59,0
206.0,89303.0,380.22,0.0,0.0,0.0,381.04,0
556.0,201392.0,188.56,0.0,0.0,0.0,188.78,0
1897.0,614779.0,27.18,0.0,0.0,0.0,26.97,1
1668.0,545086.0,30.25,1.06,1.06,3.49,29.02,1
